id,screen_name,created_at,text
1103862228514729988,RosieBarton,Fri Mar 08 03:37:18 +0000 2019,b'@oleepeeka @OrmistonOnline @cbcian \xf0\x9f\x99\x8c\xf0\x9f\x99\x8c'
1103842049755938817,RosieBarton,Fri Mar 08 02:17:07 +0000 2019,b'Third and last (touch wood) At Issue of the week tonight @CBCTheNational. @acoyne @ChantalHbert and @ShachiKurl tal\xe2\x80\xa6 https://t.co/Bvt7CfZme0'
1103739253882798080,RosieBarton,Thu Mar 07 19:28:39 +0000 2019,"b""RT @CBCTheNational: Did Justin Trudeau\xe2\x80\x99s former top adviser Gerald Butts set up a credible narrative counter to Jody Wilson-Raybould's vers\xe2\x80\xa6"""
1103731162550333440,RosieBarton,Thu Mar 07 18:56:30 +0000 2019,"b'RT @CBCPolitics: In response to query from CBC News, a spokeswoman for the PPSC said: ""The PPSC Twitter account launched this week; a numbe\xe2\x80\xa6'"
1105128204719796224,realDonaldTrump,Mon Mar 11 15:27:50 +0000 2019,"b'Republican Senators have a very easy vote this week. It is about Border Security and the Wall (stopping Crime, Drug\xe2\x80\xa6 https://t.co/gl5pVUsTqd'"
1105116787451023360,realDonaldTrump,Mon Mar 11 14:42:28 +0000 2019,b'RT @RepAndyBiggsAZ: Kate Steinle.\nSarah Root.\nGrant Ronnebeck.\n\nWe willl no longer be bystanders to these crimes committed by illegal alien\xe2\x80\xa6'
1105110876959461381,realDonaldTrump,Mon Mar 11 14:18:59 +0000 2019,b'RT @GOPChairwoman: .@realDonaldTrump made history by including a national paid family leave proposal in a presidential budget.\n\nThis invest\xe2\x80\xa6'
1105110383227035654,realDonaldTrump,Mon Mar 11 14:17:01 +0000 2019,b'Making Daylight Saving Time permanent is O.K. with me!'
1105109329290686464,realDonaldTrump,Mon Mar 11 14:12:50 +0000 2019,"b'At a recent round table meeting of business executives, &amp; long after formally introducing Tim Cook of Apple, I quic\xe2\x80\xa6 https://t.co/HOkr1Y9l42'"
1104924432190107648,realDonaldTrump,Mon Mar 11 01:58:07 +0000 2019,"b'RT @ChuckRossDC: NEW: Dark money group gave $2 Million DEMOCRACY INTEGRITY PROJECT, the org that hired Fusion GPS and Chris Steele to bolst\xe2\x80\xa6'"
1104923395295244288,realDonaldTrump,Mon Mar 11 01:54:00 +0000 2019,"b""RT @TomFitton: BIG:@JudicialWatch Uncovers DOJ Docs Showing Numerous Bruce Ohr Communications with Clinton/DNC's Fusion GPS, Christopher St\xe2\x80\xa6"""
1104923146942119938,realDonaldTrump,Mon Mar 11 01:53:01 +0000 2019,b'RT @USAmbIsrael: With @LindseyGrahamSC today touring a Gaza terror tunnel. Cost of tunnel = cost of 2 new schools = cost of 30 new homes. #\xe2\x80\xa6'
1104922992973357056,realDonaldTrump,Mon Mar 11 01:52:24 +0000 2019,b'RT @LindseyGrahamSC: Executive Business meeting this morning on judicial nominees in the @senjudiciary committee.\n\nWATCH:\nhttps://t.co/AAzW\xe2\x80\xa6'
1104922821619154946,realDonaldTrump,Mon Mar 11 01:51:43 +0000 2019,"b'RT @senatemajldr: H.R.1 is a blatant power grab to give Washington bureaucrats control over what American citizens can say about politics,\xe2\x80\xa6'"
1104920985050976263,realDonaldTrump,Mon Mar 11 01:44:25 +0000 2019,"b'RT @paulsperry_: BREAKING: US Border Patrol says that after physical barriers were erected in San Diego and El Paso sectors, as well as Yum\xe2\x80\xa6'"
1104920967887900672,realDonaldTrump,Mon Mar 11 01:44:21 +0000 2019,"b""RT @paulsperry_: BREAKING: Even Mueller's case against Russia itself, for interfering in the 2016 election, is breaking down"""
1104898291949551617,realDonaldTrump,Mon Mar 11 00:14:15 +0000 2019,"b""RT @TomFitton: The real collusion scandal... why haven't Hillary Clinton and her lawyers been questioned about their collusion with Fusion\xe2\x80\xa6"""
1104898222995189760,realDonaldTrump,Mon Mar 11 00:13:59 +0000 2019,b'RT @TomFitton: Top House Dem says Cohen likely to face DOJ perjury probe https://t.co/Xo1o4E6f5x #FoxNews'
1104897878215020546,realDonaldTrump,Mon Mar 11 00:12:36 +0000 2019,"b'RT @TomFitton: .@RepAdamSchiff has another ethics scandal as a result of his and his staff colluding with Cohen on his testimony, which was\xe2\x80\xa6'"
1104890307706060802,realDonaldTrump,Sun Mar 10 23:42:31 +0000 2019,b'\xe2\x80\x9cThere\xe2\x80\x99s not one shred of evidence that President Trump has done anything wrong.\xe2\x80\x9d @GrahamLedger One America News.\xe2\x80\xa6 https://t.co/MQ0VbB7KWP'
1104876263485960195,realDonaldTrump,Sun Mar 10 22:46:43 +0000 2019,"b""RT @paulsperry_: If Schiff wasn't coaching Cohen on how to go after Trump before his testimony and was just going over procedural issues, w\xe2\x80\xa6"""
1104714962482749440,realDonaldTrump,Sun Mar 10 12:05:46 +0000 2019,"b'More people are working today in the United States, 158,000,000, than at any time in our Country\xe2\x80\x99s history. That is a Big Deal!'"
1104714098724519936,realDonaldTrump,Sun Mar 10 12:02:20 +0000 2019,"b'Despite the most hostile and corrupt media in the history of American politics, the Trump Administration has accomp\xe2\x80\xa6 https://t.co/dEdKTZfecj'"
1104607932589723649,realDonaldTrump,Sun Mar 10 05:00:28 +0000 2019,"b'RT @WhiteHouse: \xe2\x80\x9cPublic optimism in their personal economy has hit a 16-year high under President Trump.""\n\n\xe2\x80\x9cThe job market doesn\xe2\x80\x99t get much\xe2\x80\xa6'"
